ID,partita,punti,stagione,campo,campionato
7340,Mb Trento B 6 - Mb Gardolo 18,"a:2:{i:7329;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA 'MANAZZON',Aquilotti
7341,Mb Gardolo 18 - Mb Virtus Altogarda 6,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7331;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7342,Mb Alto Adige Suedtirol A 13 - Mb Gardolo 12,"a:2:{i:7333;a:2:{s:6:""points"";s:2:""13"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7314;a:2:{s:6:""points"";s:2:""12"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,SC. MEDIA ADA NEGRI,Aquilotti
7343,Mb Trento A 18 - Mb Gardolo 6,"a:2:{i:7335;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7314;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PalaBocchi,Aquilotti
7344,Mb Gardolo 18 - Mb Junior Rovereto A 6,"a:2:{i:7314;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7337;a:2:{s:6:""points"";s:1:""6"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Aquilotti
7467,Virtus Altogarda 57 - Bc Gardolo U20 75,"a:2:{i:3378;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Pal. 'E. Impera',Promozione
7468,Night Owls Trento 63 - Bc Gardolo U20 83,"a:2:{i:7459;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PalaBocchi,Promozione
7469,Bc Gardolo U20 42 - Night Owls Trento 54,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""42"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7459;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,rnttttttCentro Sportivo Trento Nord,Promozione
7470,Bc Gardolo 63 - Night Owls Trento 46,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7459;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7471,Bc Gardolo 66 - Olimpia Bk Bolzano 78,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6745;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7472,Night Owls Trento 60 - Bc Gardolo 68,"a:2:{i:7459;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PalaBocchi,Promozione
7473,Olimpia Bk Bolzano 68 - Bc Gardolo 62,"a:2:{i:6745;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"Pal. Scuola Media ""E. Fermi""",Promozione
7525,Bc Gardolo U20 63 - Virtus Altogarda 55,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3378;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7544,Bc Gardolo 91 - Virtus Altogarda A 85,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5783;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
7545,Psg Villafranca - Gardolo,NULL,2017/2018,PALESTRA ISTITUTO CARLO ANTI,Serie D
7659,Mb Apecheronza Avio A 8 - Mb Gardolo 16,"a:2:{i:7327;a:2:{s:6:""points"";s:1:""8"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:7314;a:2:{s:6:""points"";s:2:""16"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SCUOLA MEDIA D. ALIGH,Aquilotti
7660,Mb Alto Adige Suedtirol A - Mb Gardolo,NULL,2017/2018,SC. MEDIA ADA NEGRI,Aquilotti
7661,Bc Gardolo 49 - Charly Merano 66,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5782;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
7663,Rotaliana Basket 37 - Bc Gardolo 47,"a:2:{i:7664;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Scuola Media De Eccher,Under 13
7666,Charly Merano 61 - Bc Gardolo 42,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""42"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA SEGANTINI,Under 13
7667,Bc Gardolo 95 - Ssv Leifers Basket 18,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""95"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3380;a:2:{s:6:""points"";s:2:""18"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
7668,Bc Gardolo 42 - Rotaliana Basket 38,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""42"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7664;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
7669,Crcsd Paganella 43 - Bc Gardolo 60,"a:2:{i:5781;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALAVIS,Under 13
7670,Gardolo - Junior Basket Rovereto,NULL,2017/2018,Centro Sportivo Trento Nord,Under 13
7671,Bc Gardolo 62 - Junior Basket Rovereto A 78,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5994;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7672,Junior Basket Rovereto B 54 - Bc Gardolo 77,"a:2:{i:7673;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Palestra Filzi,Under 14
7674,Bc Gardolo 39 - Basket Pergine 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""39"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5776;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7675,Apecheronza Avio 77 - Bc Gardolo 69,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA SCUOLA MEDIA D. ALIGH,Under 14
7676,Junior Basket Rovereto A 86 - Bc Gardolo 59,"a:2:{i:5994;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra Filzi,Under 14
7678,Basket Pergine 68 - Bc Gardolo 38,"a:2:{i:5776;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ''Garbari'',Under 14
7679,Bc Gardolo 66 - Apecheronza Avio 73,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7680,Bc Gardolo 76 - Piani Junior B 73,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7681;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
7683,Bc Gardolo 52 - Europa Bolzano 72,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3365;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
7685,Bc Gardolo 96 - Us Brunico 59,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""96"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
7686,Bc Gardolo U20 65 - Blue Bear Villazzano B 60,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6784;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7712,Bc Gardolo 65 - Junior Basket Rovereto B 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7673;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 14
7713,Blue Bear Villazzano A 54 - Bc Gardolo U20 65,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PalaBocchi,Promozione
7714,Bc Gardolo U20 78 - Crcsd Paganella 40,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5781;a:2:{s:6:""points"";s:2:""40"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 20
7715,Crcsd Paganella 56 - Bc Gardolo U20 104,"a:2:{i:5781;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:3:""104"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALAVIS,Under 20
7818,Bc Gardolo 68 - Crcsd Paganella 49,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5781;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 13
7819,Bc Gardolo 54 - Pall. Villazzano 86,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5778;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
7820,Piani Junior B 79 - Bc Gardolo 103,"a:2:{i:7681;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:3:""103"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Pal. Scuola Media ¿E. Fermi¿,Under 18
7861,Bc Gardolo U20 83 - Bressanone Basket Brixen 47,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7860;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7862,Bressanone Basket Brixen 49 - Bc Gardolo U20 70,"a:2:{i:7860;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALAZZETTO ROSSLAUF,Promozione
7864,Bc Gardolo 74 - Asd Tridentum 59,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7863;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7865,Asd Tridentum 58 - Bc Gardolo 76,"a:2:{i:7863;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA 'MANAZZON',Promozione
7876,Ssv Leifers Basket 41 - Bc Gardolo 83,"a:2:{i:3380;a:2:{s:6:""points"";s:2:""41"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SCUOLA S. GIACOMO DI,Under 13
7877,Us Brunico 75 - Bc Gardolo 69,"a:2:{i:5770;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Meusburger,Under 18
7879,Psg Villafranca 70 - Gardolo 94,"a:2:{i:6663;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""94"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA ISTITUTO CARLO ANTI,Serie D
7880,Gardolo 87 - Psg Villafranca 57,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6663;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
7930,Mb Gardolo - Mb Trento A,NULL,2017/2018,Centro Sportivo Trento Nord,Aquilotti
7932,Mb Arcobaleno A 13 - Mb Gardolo 11,"a:2:{i:7322;a:2:{s:6:""points"";s:2:""13"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7314;a:2:{s:6:""points"";s:2:""11"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Aquilotti
7933,Apecheronza Avio 66 - Bc Gardolo U20 61,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA SCUOLA MEDIA D. ALIGH,Promozione
7934,Bc Gardolo U20 62 - Apecheronza Avio 68,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7935,Olimpia Bk Bolzano 71 - Bc Gardolo 73,"a:2:{i:6745;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Pal. Scuola Media ¿E. Fermi¿,Promozione
7936,Bc Gardolo 70 - Olimpia Bk Bolzano 65,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6745;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Promozione
7938,Cus Trento 72 - Bc Gardolo 75,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SANBAPOLIS,Serie D
7939,Cus Trento 76 - Bc Gardolo 68,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA SANBAPOLIS,Serie D
7940,Bc Gardolo 68 - Cus Trento 70,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6661;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
7941,Gardolo 74 - Cus Trento 65,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6661;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
7959,Mb Alto Adige Suedtirol A - Mb Gardolo,NULL,2017/2018,SC. MEDIA ADA NEGRI,Aquilotti
8023,Blue Bear Villazzano A 58 - Bc Gardolo U20 61,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PalaBocchi,Promozione
8024,Junior Bk Rovereto 91 - Bc Gardolo 61,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,SCUOLA M. ¿D. CHIESA¿,Promozione
8089,Olimpia Bk Bolzano - Gardolo U20,NULL,2017/2018,Pal. Scuola Media ¿E. Fermi¿,Promozione
8091,Gardolo 63-Cus Trento 61 - Il Gardolo vince il campionato di Serie D!,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6661;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
8156,Apecheronza Avio - Gardolo,NULL,2017/2018,PALESTRA SCUOLA MEDIA D. ALIGH,Promozione
8160,Europa Bolzano 70 -BC Gardolo 68,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALAMAZZALI,Under 18
8169,Basket Spresiano 82 - Gardolo 62,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8222;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
8194,Gardolo 71 - Basket Spresiano 74,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8222;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
8281,ASD Pergine 63 - BC Gardolo 97,NULL,NULL,NULL,NULL
8283,Cus Trento 69 - Bc Gardolo 52,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA SANBAPOLIS,Coppa Trentino
8285,Bc Gardolo 54 - GS Riva 2018 81,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8286;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Coppa Trentino
8290,Maia Merano 55 - Bc Gardolo 76,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,"Palestra """"Segantini""""",Coppa Trentino
8292,Bc Gardolo 37 - Europa Bolzano 52,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3365;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Coppa Trentino
8306,Mb Alto Adige Suedtirol A - Mb Gardolo,NULL,2017/2018,SC. MEDIA ADA NEGRI,Aquilotti
8308,Olimpia Bolzano - Gardolo,NULL,2018/2019,Pal. Scuola Media ¿E. Fermi¿,Under 15
8312,Gardolo - Pall. Villazzano Rosso,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8313,Us Brunico - Gardolo,NULL,2018/2019,Handelsoberschuele,Under 15
8315,Gardolo - Junior Bk Trento,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8317,Bk Pergine - Gardolo,NULL,2018/2019,Palestra ''Garbari'',Under 15
8318,Gardolo - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8320,Pall. Villazzano Bianco - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 15
8322,Maia  Merano - Gardolo,NULL,2018/2019,Palestra ¿Segantini¿,Under 15
8324,Virtus Alto Garda - Gardolo,NULL,2018/2019,Pal. 'E. Impera',Under 15
8325,Gardolo - Apecheronza Avio,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8326,Gardolo - Olimpia Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8327,Pall. Villazzano Rosso - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 15
8328,Gardolo - Us Brunico,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8329,Junior Bk Trento - Gardolo,NULL,2018/2019,PALESTRA 'MANAZZON',Under 15
8330,Gardolo - Bk Pergine,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8331,Junior Bk Rovereto - Gardolo,NULL,2018/2019,SCUOLA M. ¿D. CHIESA¿,Under 15
8332,Gardolo - Pall. Villazzano Bianco,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8333,Gardolo - Maia  Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
8334,Gardolo - Virtus Alto Garda,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""21"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8323;a:2:{s:6:""points"";s:2:""97"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Under 15
8335,Apecheronza Avio 78 - Bc Gardolo 66,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA SCUOLA MEDIA D. ALIGH,Under 15
8336,Gardolo - Europa Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8340,Olimpia Bolzano - Gardolo,NULL,2018/2019,Pal. Scuola Media ¿E. Fermi¿,Under 16
8341,Gardolo - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8342,Pall. Villazzano A - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 16
8343,Gardolo - Maia Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8344,Gardolo - Pall. Villazzano B,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8345,Charly Merano - Gardolo,NULL,2018/2019,PALESTRA SEGANTINI,Under 16
8346,Europa Bolzano - Gardolo,NULL,2018/2019,SC. MEDIA ADA NEGRI,Under 16
8347,Gardolo - Olimpia Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8348,Junior Bk Rovereto - Gardolo,NULL,2018/2019,SCUOLA M. ¿D. CHIESA¿,Under 16
8349,Gardolo - Pall. Villazzano A,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8350,Maia Merano - Gardolo,NULL,2018/2019,Palestra ¿Segantini¿,Under 16
8351,Pall. Villazzano B 65 - Bc Gardolo 82,"a:2:{i:5784;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA S.M. PASCOLI,Under 16
